,m,x,r,d,v,ns,n,zg,t,l,c,uj,ul,p,nz,f,a,nr,eng,nrt,vn,s,u,b,y,df,i,ad,nt,an,vq,ug,j,h,uz,g,q,ud,z,rr,ng,vg,uv,k,mq,o,ag,yg,e,nrfg,rz,vd,vi,tg,dg
c,"(43, 14038)","(2056, 30230)","(376, 17697)","(348, 13132)","(344, 42175)","(370, 13006)","(2158, 40020)","(1, 795)","(40, 1894)","(243, 3134)","(317, 7805)","(126, 10574)","(6, 1329)","(11, 8822)","(32, 2422)","(42, 2458)","(292, 7169)","(261, 3570)","(19, 1585)","(6, 296)","(30, 1549)","(14, 849)","(9, 373)","(17, 796)","(11, 455)","(3, 90)","(8, 747)","(12, 610)","(2, 329)","(7, 65)",,"(4, 329)","(8, 564)",,"(2, 149)",,"(3, 485)","(3, 395)","(9, 144)",,"(9, 196)","(2, 58)",,"(3, 103)",,,,,,,,,,,
uj,"(160, 14038)","(304, 30230)","(726, 17697)","(175, 13132)","(2457, 42175)","(682, 13006)","(3535, 40020)",,"(170, 1894)","(140, 3134)","(27, 7805)","(3, 10574)","(2, 1329)","(25, 8822)","(127, 2422)","(466, 2458)","(1308, 7169)","(180, 3570)","(66, 1585)","(32, 296)","(145, 1549)","(168, 849)","(4, 373)","(109, 796)",,,"(110, 747)","(75, 610)","(14, 329)","(11, 65)",,"(26, 329)","(5, 564)",,"(3, 149)","(1, 80)","(6, 485)",,"(28, 144)",,"(27, 196)","(4, 58)",,"(13, 103)","(4, 56)","(1, 37)",,,"(1, 27)","(2, 7)",,"(1, 9)",,,
ul,"(70, 14038)","(7, 30230)","(24, 17697)","(25, 13132)","(1040, 42175)","(12, 13006)","(243, 40020)",,"(23, 1894)","(25, 3134)","(9, 7805)","(14, 10574)","(1, 1329)","(17, 8822)","(5, 2422)","(22, 2458)","(108, 7169)","(19, 3570)","(4, 1585)","(3, 296)","(24, 1549)","(3, 849)","(2, 373)","(8, 796)","(1, 455)",,"(15, 747)","(4, 610)",,"(1, 65)",,"(7, 329)","(2, 564)",,,"(2, 80)","(6, 485)","(5, 395)","(2, 144)",,"(3, 196)","(3, 58)",,,,,,,"(2, 27)",,,,,"(2, 4)",
p,"(97, 14038)","(1115, 30230)","(625, 17697)","(797, 13132)","(1328, 42175)","(80, 13006)","(2934, 40020)",,"(51, 1894)","(38, 3134)","(457, 7805)","(25, 10574)","(10, 1329)","(51, 8822)","(255, 2422)","(53, 2458)","(100, 7169)","(273, 3570)","(12, 1585)","(8, 296)","(39, 1549)","(18, 849)","(3, 373)","(14, 796)",,"(14, 90)","(12, 747)","(18, 610)","(8, 329)",,,"(6, 329)","(5, 564)",,"(3, 149)",,"(3, 485)","(3, 395)","(2, 144)",,"(10, 196)",,"(3, 54)","(6, 103)","(1, 56)",,,,,,,,,,
nz,"(184, 14038)","(266, 30230)","(271, 17697)","(34, 13132)","(547, 42175)","(31, 13006)","(244, 40020)",,"(7, 1894)","(7, 3134)","(354, 7805)","(312, 10574)","(13, 1329)","(70, 8822)","(12, 2422)","(15, 2458)","(19, 7169)","(18, 3570)","(5, 1585)","(3, 296)","(4, 1549)","(8, 849)",,"(9, 796)",,,,"(2, 610)",,,,"(5, 329)","(4, 564)","(1, 23)",,,"(7, 485)",,,,"(1, 196)","(2, 58)",,"(1, 103)","(1, 56)",,,,,,"(2, 19)",,,,
f,"(72, 14038)","(254, 30230)","(67, 17697)","(26, 13132)","(503, 42175)","(66, 13006)","(895, 40020)","(4, 795)","(22, 1894)","(217, 3134)","(22, 7805)","(19, 10574)","(11, 1329)","(50, 8822)","(33, 2422)","(2, 2458)","(24, 7169)","(32, 3570)","(15, 1585)","(5, 296)","(20, 1549)","(3, 849)","(1, 373)","(8, 796)","(1, 455)",,"(2, 747)","(1, 610)","(4, 329)","(1, 65)",,"(1, 329)","(5, 564)",,,,"(13, 485)","(2, 395)",,,"(8, 196)","(1, 58)",,,"(1, 56)",,,,,,,,,,
a,"(173, 14038)","(502, 30230)","(694, 17697)","(1341, 13132)","(1455, 42175)","(363, 13006)","(1534, 40020)","(238, 795)","(22, 1894)","(450, 3134)","(215, 7805)","(207, 10574)","(31, 1329)","(124, 8822)","(21, 2422)","(31, 2458)","(108, 7169)","(39, 3570)","(4, 1585)","(3, 296)","(13, 1549)","(11, 849)","(11, 373)","(7, 796)","(1, 455)","(3, 90)","(5, 747)","(10, 610)","(1, 329)","(1, 65)",,"(8, 329)","(5, 564)",,"(7, 149)",,"(19, 485)","(25, 395)","(6, 144)","(1, 10)","(14, 196)","(3, 58)",,"(2, 103)","(1, 56)",,"(2, 15)",,,,,,,,
nr,"(170, 14038)","(540, 30230)","(439, 17697)","(75, 13132)","(600, 42175)","(97, 13006)","(159, 40020)","(8, 795)","(16, 1894)","(9, 3134)","(411, 7805)","(121, 10574)","(16, 1329)","(329, 8822)","(18, 2422)","(15, 2458)","(19, 7169)","(258, 3570)","(7, 1585)","(22, 296)","(12, 1549)","(199, 849)","(2, 373)","(6, 796)",,,"(1, 747)","(1, 610)","(3, 329)",,"(1, 32)","(5, 329)","(16, 564)","(4, 23)",,"(2, 80)","(6, 485)","(2, 395)",,,"(6, 196)","(1, 58)",,,"(1, 56)",,"(2, 15)",,,,,,,,"(1, 1)"
eng,"(40, 14038)","(1101, 30230)","(24, 17697)","(28, 13132)","(200, 42175)","(10, 13006)","(52, 40020)",,"(7, 1894)","(4, 3134)","(44, 7805)","(45, 10574)","(10, 1329)","(58, 8822)","(3, 2422)","(2, 2458)","(9, 7169)","(9, 3570)",,"(2, 296)","(6, 1549)","(1, 849)","(1, 373)","(2, 796)","(1, 455)",,"(1, 747)","(1, 610)",,,,,"(2, 564)",,,,"(6, 485)","(1, 395)","(1, 144)",,,,,,,,,,,,,,,,
nrt,"(7, 14038)","(34, 30230)","(2, 17697)","(19, 13132)","(45, 42175)","(12, 13006)","(32, 40020)",,"(4, 1894)",,"(14, 7805)","(16, 10574)","(4, 1329)","(9, 8822)","(8, 2422)","(72, 2458)","(5, 7169)","(13, 3570)","(1, 1585)","(3, 296)",,,"(1, 373)",,,,,,,,,,"(1, 564)",,,,"(1, 485)",,,,,,,,,,"(1, 15)",,,,,,,,
